feature,lag,correlation,abs_correlation
SP500,1,-0.22101600624144593,0.22101600624144593
VIX,1,0.19191836223195494,0.19191836223195494
IHSG,1,-0.1414181328653779,0.1414181328653779
SP500,6,-0.1068475552399485,0.1068475552399485
IHSG,3,-0.08591250934891734,0.08591250934891734
GOLD,1,-0.0803745083787447,0.0803745083787447
IHSG,11,-0.07788644097798811,0.07788644097798811
US_rate,74,-0.07721157452461332,0.07721157452461332
VIX,76,0.07349360497446038,0.07349360497446038
SP500,31,0.07184724190344706,0.07184724190344706
SP500,7,0.06895838565226267,0.06895838565226267
US_rate,16,-0.06803489981655694,0.06803489981655694
VIX,6,0.06535923759219356,0.06535923759219356
GOLD,4,-0.06364617102702232,0.06364617102702232
US_rate,50,0.062241802045078995,0.062241802045078995
CPI,59,-0.06206321714672249,0.06206321714672249
US_rate,11,-0.06069875948274805,0.06069875948274805
US_rate,52,-0.059975113264632944,0.059975113264632944
OIL,86,0.05895131110533178,0.05895131110533178
GOLD,2,-0.05686772022706636,0.05686772022706636
OIL,1,-0.05602690833842286,0.05602690833842286
US_rate,48,0.05532203517013212,0.05532203517013212
IHSG,40,0.05337987409727858,0.05337987409727858
SP500,11,-0.053275131203249046,0.053275131203249046
SP500,5,0.052864483331969386,0.052864483331969386
VIX,4,0.05276479869912937,0.05276479869912937
SP500,4,-0.05182903386316485,0.05182903386316485
VIX,77,-0.051661357330646196,0.051661357330646196
SP500,41,-0.050558266619859286,0.050558266619859286
US_rate,69,0.05045388048542796,0.05045388048542796
SP500,40,0.05029088974309997,0.05029088974309997
SP500,14,0.050121307603491407,0.050121307603491407
VIX,47,-0.05009880607707065,0.05009880607707065
GOLD,34,-0.049071744842795285,0.049071744842795285
IHSG,20,0.04828640378932729,0.04828640378932729
US_rate,8,-0.04754267866169949,0.04754267866169949
US_rate,34,0.04703308515844958,0.04703308515844958
VIX,14,-0.046854489945274795,0.046854489945274795
SP500,53,0.04589244830599029,0.04589244830599029
US_rate,12,0.04525621403409558,0.04525621403409558
US_rate,26,0.044766635529605504,0.044766635529605504
OIL,70,0.04431660814831523,0.04431660814831523
GOLD,61,0.04399495540343582,0.04399495540343582
SP500,77,0.043506404365516754,0.043506404365516754
VIX,11,0.043401099678785,0.043401099678785
IHSG,6,-0.0427992548406337,0.0427992548406337
VIX,10,0.04279128651404767,0.04279128651404767
VIX,15,0.0427334657939844,0.0427334657939844
VIX,52,-0.042707484323653094,0.042707484323653094
IHSG,67,0.04243789976823488,0.04243789976823488
GOLD,38,0.042105372335463465,0.042105372335463465
IHSG,47,-0.04206972018475018,0.04206972018475018
US_rate,14,-0.04186173702100096,0.04186173702100096
IHSG,8,-0.04171744098943146,0.04171744098943146
SP500,37,-0.041312113606965295,0.041312113606965295
SP500,23,-0.04121461650862615,0.04121461650862615
SP500,35,0.0408396149530647,0.0408396149530647
US_rate,46,0.04027084199673103,0.04027084199673103
BI_rate,10,-0.040112989121365725,0.040112989121365725
SP500,33,0.039952755444343076,0.039952755444343076
VIX,75,-0.039392764874748944,0.039392764874748944
SP500,48,-0.03925755787300885,0.03925755787300885
SP500,83,0.0392149822602415,0.0392149822602415
BI_rate,33,0.03900326708119681,0.03900326708119681
SP500,8,-0.038943504564364045,0.038943504564364045
IHSG,86,-0.0385354402122614,0.0385354402122614
US_rate,49,-0.03851879431772051,0.03851879431772051
VIX,41,0.03851742716504074,0.03851742716504074
VIX,25,-0.03850130179811815,0.03850130179811815
SP500,65,0.03846348753616011,0.03846348753616011
SP500,73,-0.03784141386978682,0.03784141386978682
OIL,36,0.037836043393623175,0.037836043393623175
IHSG,56,0.03779952706232137,0.03779952706232137
SP500,58,0.03770038366781687,0.03770038366781687
SP500,13,-0.03744332932339744,0.03744332932339744
GOLD,35,0.03741697259116631,0.03741697259116631
CPI,19,0.037182972651608054,0.037182972651608054
IHSG,45,0.03699015653309169,0.03699015653309169
SP500,74,0.03604687107534623,0.03604687107534623
CPI,57,-0.03557096878532666,0.03557096878532666
SP500,54,-0.03552134253814112,0.03552134253814112
VIX,50,-0.035292979605073736,0.035292979605073736
GOLD,82,0.034949977508716014,0.034949977508716014
SP500,32,-0.03417232361874063,0.03417232361874063
OIL,78,-0.03409042185330193,0.03409042185330193
VIX,26,0.0339994302878815,0.0339994302878815
OIL,85,-0.03397201201991138,0.03397201201991138
OIL,69,-0.03396813914786014,0.03396813914786014
US_rate,6,0.03389942015117684,0.03389942015117684
US_rate,76,0.03378674963530728,0.03378674963530728
CPI,56,-0.03370779678393744,0.03370779678393744
OIL,20,0.03330655837429965,0.03330655837429965
US_rate,1,-0.03281770194721419,0.03281770194721419
SP500,24,0.03267976315434392,0.03267976315434392
GOLD,33,0.03267598816475775,0.03267598816475775
SP500,46,0.032341896987528256,0.032341896987528256
IHSG,26,-0.03222373472780264,0.03222373472780264
US_rate,33,-0.032050469594298386,0.032050469594298386
GOLD,86,0.032016857600913474,0.032016857600913474
GOLD,26,0.03196445704666144,0.03196445704666144
US_rate,20,0.03194494749797933,0.03194494749797933
VIX,39,-0.03173919014756671,0.03173919014756671
SP500,82,-0.031652215414136965,0.031652215414136965
GOLD,13,-0.03160580434299192,0.03160580434299192
IHSG,7,0.031574758881474624,0.031574758881474624
BI_rate,81,-0.031555581029512364,0.031555581029512364
BI_rate,57,0.031459135587393224,0.031459135587393224
VIX,33,-0.031381901726595274,0.031381901726595274
US_rate,23,-0.031195606998344935,0.031195606998344935
BI_rate,49,0.031101295550950283,0.031101295550950283
SP500,78,-0.031059715648151423,0.031059715648151423
GOLD,52,-0.03087341167194316,0.03087341167194316
IHSG,84,-0.030870718426658266,0.030870718426658266
CPI,48,-0.030480251738253816,0.030480251738253816
GOLD,54,-0.03046550948093424,0.03046550948093424
SP500,15,-0.03036833562943093,0.03036833562943093
IHSG,18,-0.030075435776385023,0.030075435776385023
VIX,13,0.03005139315609755,0.03005139315609755
IHSG,51,-0.029802991910814137,0.029802991910814137
IHSG,15,0.029755772845444235,0.029755772845444235
US_rate,28,0.029607407386996427,0.029607407386996427
BI_rate,35,0.02953831723303529,0.02953831723303529
VIX,56,0.02936306243136105,0.02936306243136105
SP500,59,-0.02936062153511392,0.02936062153511392
OIL,11,-0.02920410089236743,0.02920410089236743
IHSG,53,0.029064680557377248,0.029064680557377248
US_rate,83,-0.028979982426029404,0.028979982426029404
SP500,64,-0.028938317823273076,0.028938317823273076
IHSG,87,0.028875514340964116,0.028875514340964116
OIL,25,0.02882365821224858,0.02882365821224858
SP500,17,-0.02882068254119005,0.02882068254119005
SP500,12,0.02875656745974351,0.02875656745974351
VIX,79,0.028730695988108026,0.028730695988108026
BI_rate,26,0.028672316505595527,0.028672316505595527
VIX,78,0.028624670498027683,0.028624670498027683
SP500,90,0.028586967772910813,0.028586967772910813
US_rate,39,-0.02841930502862831,0.02841930502862831
OIL,90,0.028378353023163272,0.028378353023163272
OIL,18,-0.028270401313130047,0.028270401313130047
BI_rate,78,0.02822429176924668,0.02822429176924668
