year,rmse,model
2023,453.79533488169164,naive_last
2024,925.113162770307,naive_last
2025,1485.9158612950266,naive_last
2026,2078.4071439595846,naive_last
2023,306.57360554332155,ar_p
2024,501.83574385138894,ar_p
2025,558.8915561716158,ar_p
2026,837.6849622022305,ar_p
2023,243.14037182464196,ar_plus_trend
2024,429.75577800523774,ar_plus_trend
2025,473.90311060524175,ar_plus_trend
2026,542.9322567168048,ar_plus_trend
2023,303.9661632503677,ar_plus_verified_exog
2024,473.5602478303904,ar_plus_verified_exog
2025,489.5862317603707,ar_plus_verified_exog
2026,731.7380622601663,ar_plus_verified_exog
2023,209.06159396911752,elasticnet_full
2024,448.1794121867272,elasticnet_full
2025,369.73785788972856,elasticnet_full
2026,335.31682265389395,elasticnet_full
