feature,dtype,missing,unique,min,max,mean,std
Date,datetime64[ns],0,3498,2010-01-04,2023-05-31,,
OIL,float64,0,2743,10.010000228881836,123.6999969482422,71.42003146384769,22.351488296767005
GOLD,float64,0,2662,1050.800048828125,2051.5,1464.1119208883872,259.2970461666061
USDIDR,float64,0,2742,8292.7001953125,16504.80078125,12504.64694341242,2228.6557984555234
SP500,float64,0,3357,1022.5800170898438,4796.56005859375,2452.2635964273113,1014.5549650150323
IHSG,float64,0,3266,2475.4755859375,7318.01611328125,5195.937320070174,1130.4368054320942
VIX,float64,0,1671,9.140000343322754,92.07138356369016,18.80392939461018,7.898806461651132
CPI,float64,0,14,1.56007882983334,6.41249457900391,4.226740239595295,1.5423311893623626
BI_rate,float64,0,17,3.5,7.75,5.636006289308176,1.320168933551523
US_rate,float64,0,69,0.05,5.06,0.7623098913664951,1.0970833164724423
