feature,gain_importance,split_importance,permutation_importance,rank_gain
target_return,0.5199943867242927,1550,1.3386822628812571,1
target_diff1,0.09571987426568107,1051,0.06540930418996016,2
target_roll_std_5,0.0059409972213113615,326,5.030491178095176e-05,3
target_return_5d,0.0015139927049034885,64,-7.457821711724933e-05,4
SP500_roll_std_5,0.0007825362824953608,103,-2.910448702553303e-06,5
SP500_ma20_ratio,0.0004616594865682888,48,5.316151005307912e-06,6
target_roll_std_20,0.0003344037169354941,48,-4.923860011163406e-06,7
IHSG_return_5d,0.00032626111439104655,20,-1.3784212038459032e-06,8
SP500_lag3,0.00032103784596460017,38,0.0,9
OIL_return_5d,0.00030423300391557717,21,4.400600330933812e-06,10
target_return_20d,0.0002971460676302051,51,1.117130456630422e-05,11
GOLD_return,0.00019952496053843305,70,2.17429180606743e-06,12
VIX_lag1,0.0001811655228580733,28,-5.145960815799988e-07,13
SP500,0.0001294028274509973,28,0.0,14
target_ma20_ratio,0.00012006726636437648,91,9.134023497892052e-05,15
IHSG,0.00010546688975887619,19,2.35028489979916e-06,16
US_rate_roll_std_20,9.639690993568095e-05,15,-9.9229367134257e-05,17
VIX_roll_std_60,9.508847391925812e-05,22,0.0,18
GOLD_diff1,9.392544796904545e-05,88,2.0521411155383085e-06,19
IHSG_ma60_ratio,8.961748436364658e-05,13,-2.278048102388741e-06,20
VIX,8.699530444822301e-05,47,-1.6290678270802771e-07,21
OIL_roll_mean_5,8.443651148137832e-05,11,0.0,22
IHSG_lag1,7.036614974209598e-05,19,0.0,23
OIL_lag1,6.729030538465963e-05,27,0.0,24
target_lag10,6.198686178837676e-05,19,-6.81948958525247e-07,25
OIL_return_20d,5.513237256593584e-05,37,6.054163295081683e-05,26
target_ma60_ratio,5.372312611839902e-05,27,2.2199327718364082e-05,27
GOLD_roll_std_20,5.192444098156557e-05,41,-3.883360168036587e-05,28
IHSG_lag3,4.8418556678253566e-05,20,0.0,29
rate_spread_roll_std_20,4.746729701388119e-05,9,-6.77243373234715e-05,30
IHSG_return_60d,4.436017368236733e-05,28,1.182632556151475e-06,31
OIL_ma60_ratio,4.360140890757869e-05,25,-1.2316959402070005e-06,32
target_lag20,4.2060638328678124e-05,41,2.0985475014256848e-05,33
OIL_lag3,4.199508436641963e-05,12,0.0,34
OIL_lag5,3.93029306389181e-05,19,0.0,35
GOLD_roll_std_5,3.6255384934458235e-05,70,4.92216759795383e-07,36
GOLD_return_60d,3.0043068390384065e-05,31,-8.601590548196203e-06,37
GOLD_lag1,2.9187133194774617e-05,35,-3.0384200700228624e-06,38
OIL_roll_std_20,2.8721382345331392e-05,60,8.655243298072434e-07,39
