feature,target,lag,correlation,abs_correlation,rank
IHSG,level,60,0.864395692529293,0.864395692529293,1
IHSG,level,20,0.8425371824632808,0.8425371824632808,2
IHSG,level,10,0.8362415565806696,0.8362415565806696,3
SP500,level,60,0.835780788124602,0.835780788124602,4
SP500,level,20,0.8351086456957408,0.8351086456957408,5
SP500,level,10,0.8340065454681199,0.8340065454681199,6
SP500,level,1,0.8340062717408518,0.8340062717408518,7
SP500,level,3,0.8338919887263722,0.8338919887263722,8
SP500,level,5,0.8338707908237972,0.8338707908237972,9
IHSG,level,5,0.8337326300212756,0.8337326300212756,10
IHSG,level,3,0.8328804515018704,0.8328804515018704,11
IHSG,level,1,0.8323346590678429,0.8323346590678429,12
CPI,level,1,-0.5758880344291946,0.5758880344291946,13
CPI,level,3,-0.5746916431388832,0.5746916431388832,14
CPI,level,5,-0.5735318169770165,0.5735318169770165,15
CPI,level,10,-0.5705493645307579,0.5705493645307579,16
OIL,level,1,-0.5682016589662713,0.5682016589662713,17
OIL,level,3,-0.5669999812487146,0.5669999812487146,18
OIL,level,5,-0.5656908525367418,0.5656908525367418,19
CPI,level,20,-0.5651603929167298,0.5651603929167298,20
OIL,level,10,-0.5624092448494468,0.5624092448494468,21
OIL,level,20,-0.5548736531602623,0.5548736531602623,22
CPI,level,60,-0.5451385472637919,0.5451385472637919,23
OIL,level,60,-0.5313089593392089,0.5313089593392089,24
US_rate,level,1,0.5116549805543391,0.5116549805543391,25
US_rate,level,3,0.5113053083587641,0.5113053083587641,26
US_rate,level,5,0.5109538567850372,0.5109538567850372,27
US_rate,level,10,0.5100114659261357,0.5100114659261357,28
US_rate,level,20,0.5092296110583375,0.5092296110583375,29
US_rate,level,60,0.5005103787372784,0.5005103787372784,30
BI_rate,level,60,-0.4987264951155379,0.4987264951155379,31
BI_rate,level,20,-0.4937849830990412,0.4937849830990412,32
BI_rate,level,10,-0.49330563133985805,0.49330563133985805,33
BI_rate,level,5,-0.4930190919353113,0.4930190919353113,34
BI_rate,level,3,-0.49291962109147697,0.49291962109147697,35
BI_rate,level,1,-0.4927977529834814,0.4927977529834814,36
GOLD,level,1,0.1598054695380932,0.1598054695380932,37
GOLD,level,3,0.1582880063957338,0.1582880063957338,38
GOLD,level,5,0.15692985686632674,0.15692985686632674,39
GOLD,level,10,0.15391910005318432,0.15391910005318432,40
GOLD,level,20,0.1482403804158387,0.1482403804158387,41
GOLD,level,60,0.12737107257214508,0.12737107257214508,42
VIX,level,5,0.07278272116722934,0.07278272116722934,43
VIX,level,3,0.07187382941817869,0.07187382941817869,44
VIX,level,10,0.0710975401930374,0.0710975401930374,45
VIX,level,1,0.07020165441712586,0.07020165441712586,46
VIX,difference,1,0.06214655294369908,0.06214655294369908,47
VIX,level,20,0.05698622433440976,0.05698622433440976,48
VIX,difference,20,-0.05360622430413843,0.05360622430413843,49
VIX,log_return,1,0.05289514979271622,0.05289514979271622,50
VIX,log_return,20,-0.04499554976457254,0.04499554976457254,51
OIL,log_return,20,0.026830608775586528,0.026830608775586528,52
OIL,difference,20,0.026623930563272606,0.026623930563272606,53
OIL,log_return,5,0.023763173666821447,0.023763173666821447,54
OIL,difference,5,0.02317997907730959,0.02317997907730959,55
OIL,log_return,10,0.022620352640585453,0.022620352640585453,56
CPI,log_return,60,0.022598155848348133,0.022598155848348133,57
