model,feature_set,target,preset,rmse,mae,mape
LightGBM,target_only,diff,balanced,1163.6213397038625,1093.0113621866972,6.726456868770475
LightGBM,basic,diff,balanced,1163.6213397038625,1093.0113621866972,6.726456868770475
LightGBM,target_only,log_return,balanced,1270.9995464618648,1180.923152281296,7.291210825487195
LightGBM,basic,log_return,balanced,1270.9995464618648,1180.923152281296,7.291210825487195
Naive,-,level,-,1284.2111860163702,1132.902152956298,6.900721166608083
LightGBM,basic,log_return,smooth,1293.4883708399013,1220.9664570334098,7.540492147287302
LightGBM,target_only,log_return,smooth,1293.4883708399013,1220.9664570334098,7.540492147287302
LightGBM,target_only,diff,compact,1317.550048934221,1229.9085625906655,7.541638699858648
LightGBM,basic,diff,compact,1317.550048934221,1229.9085625906655,7.541638699858648
LightGBM,basic,level,balanced,1337.3720963573887,1199.6710669237104,7.32002083236733
LightGBM,target_only,level,balanced,1337.3720963573887,1199.6710669237104,7.32002083236733
LightGBM,basic,level,compact,1373.1848562015355,1223.2971399476244,7.458447945956316
LightGBM,target_only,level,compact,1373.1848562015355,1223.2971399476244,7.458447945956316
LightGBM,full,log_return,smooth,1441.052832913032,1330.6812781344515,8.19665892742302
LightGBM,target_only,diff,smooth,1484.7665504651309,1418.9784865474228,8.752775765455441
LightGBM,basic,diff,smooth,1484.7665504651309,1418.9784865474228,8.752775765455441
LightGBM,target_only,level,smooth,1509.718349696427,1358.6856261045837,8.292779643010514
LightGBM,basic,level,smooth,1509.718349696427,1358.6856261045837,8.292779643010514
LightGBM,basic,log_return,compact,1563.4702551686132,1469.9783687830136,9.027650026549026
LightGBM,target_only,log_return,compact,1563.4702551686132,1469.9783687830136,9.027650026549026
LightGBM,full,level,smooth,1586.7253308824916,1492.6644507675664,9.163255213633164
LightGBM,full,diff,balanced,1675.5826666939786,1569.012479287256,9.620156605791596
LightGBM,full,level,balanced,1690.3873206885698,1603.4112835319354,9.846081294766025
LightGBM,full,log_return,balanced,1716.2819315612153,1575.80920870232,9.638735992833816
LightGBM,full,diff,smooth,1763.2218022089116,1618.9359662885784,9.916153304002176
LightGBM,full,level,compact,1784.8981444726032,1686.3379587344675,10.35407548839025
LightGBM,full,log_return,compact,1840.1373978684142,1725.8147151057499,10.585531193610956
LightGBM,full,diff,compact,2220.5730705601018,2064.745045515246,12.654732988494397
