model_type,threshold_val,vix_gate,rmse
ridge,2.5,22.0,322.2641362705647
ridge,2.5,21.5,322.4875567931507
ridge,2.5,22.5,322.5861011201981
ridge,2.5,23.0,322.75923928514305
ridge,2.25,22.0,322.8468355641767
ridge,1.0,22.0,322.9172871343211
ridge,1.25,22.0,323.0949703259041
ridge,2.25,22.5,323.1367900944794
ridge,2.5,23.5,323.1392107293785
ridge,1.0,22.5,323.20082649200816
ridge,2.25,23.0,323.2723566936339
ridge,1.0,23.0,323.33381590118864
ridge,1.25,22.5,323.36342025331356
ridge,2.25,21.5,323.3757852296246
ridge,1.25,23.0,323.48718862770494
ridge,2.5,24.0,323.6113264467897
ridge,2.25,23.5,323.6823426330296
ridge,1.5,22.0,323.81130504547673
ridge,1.0,23.5,323.8158005511284
ridge,1.25,23.5,323.95579345751446
ridge,2.5,21.0,323.9589535571804
ridge,2.0,22.0,324.0099798697313
ridge,1.5,22.5,324.0431683590508
ridge,2.5,24.5,324.05272311532394
ridge,2.25,24.0,324.10209805172235
ridge,1.5,23.0,324.1384674726192
ridge,2.0,22.5,324.2388074567309
ridge,2.5,20.5,324.28604448734325
ridge,1.0,24.0,324.28660762719966
ridge,2.0,23.0,324.3274238938301
ridge,1.25,24.0,324.3883093170648
ridge,1.0,21.5,324.52574930859225
ridge,1.5,23.5,324.55577216136015
ridge,2.25,24.5,324.57657412676815
ridge,2.5,25.0,324.58669311845983
ridge,2.5,26.0,324.62031457718587
ridge,2.5,25.5,324.6645426763355
ridge,2.0,23.5,324.7196907038601
ridge,2.5,26.5,324.75686665694366
ridge,1.75,22.0,324.76190899038437
ridge,1.25,21.5,324.7650258103472
ridge,2.0,21.5,324.87454608312794
ridge,1.0,24.5,324.88267751482607
ridge,2.25,26.0,324.8974378283888
ridge,1.5,24.0,324.90432139329664
ridge,2.5,27.0,324.9096260008016
ridge,1.75,22.5,324.95356206035143
ridge,1.25,24.5,324.9731060260984
ridge,2.25,25.5,324.97676747101417
ridge,1.75,23.0,325.0026031144983
ridge,1.0,26.0,325.00375020284133
ridge,2.25,25.0,325.01187470559904
ridge,1.0,27.5,325.01721620621004
