feature,gain,split
dow_cos,5630603.501953125,25
gap_from_trend,5624143.814453125,68
VIX_lag1,5399304.400390625,48
usd_lag_1,4764131.90625,51
realized_vol_21,3781831.68359375,55
IHSG_diff1,3763910.3046875,51
VIX_diff1,2992183.400390625,24
rolling_drift_252,2562198.296875,39
GOLD_lag1,2283467.099609375,15
dow_sin,2230289.3984375,25
days_since_cpi_release,2176805.388671875,37
OIL_diff1,2024755.103515625,34
VIX,2022548.8984375,23
GOLD_lag20,1808788.798828125,28
days_since_bi_change,1791263.095703125,28
GOLD_diff1,1708358.09765625,40
VIX_lag6,1643673.69140625,39
IHSG,1417187.6015625,23
GOLD,1305239.59765625,24
usd_lag_24,1127928.8046875,19
IHSG_lag20,1075993.8046875,9
usd_lag_47,1060430.30078125,20
usd_lag_2,1060084.900390625,17
GOLD_lag6,1020395.50390625,18
SP500_diff1,983736.396484375,22
usd_lag_13,977965.99609375,18
OIL_lag20,954626.8046875,15
IHSG_lag1,916656.89453125,12
usd_lag_10,838031.69921875,17
VIX_lag20,784660.1015625,17
OIL_lag6,783050.8984375,11
BI_rate_lag6,779728.1953125,8
usd_lag_29,747434.8046875,10
usd_lag_36,730896.6953125,11
month_cos,704392.1015625,10
usd_lag_15,696723.69921875,11
SP500_lag6,576977.80078125,10
SP500_lag20,573615.1015625,14
OIL,526671.40625,13
usd_lag_46,505431.498046875,9
IHSG_lag6,496266.703125,11
SP500,435965.6015625,12
usd_lag_14,434075.90234375,8
SP500_lag1,431090.6953125,5
usd_lag_5,430978.90234375,7
CPI_lag20,426963.59375,6
OIL_lag1,401815.197265625,10
rate_spread,285694.19921875,7
month_sin,191514.603515625,7
US_rate_lag1,163695.400390625,2
US_rate,134751.30078125,2
US_rate_lag20,75379.701171875,3
CPI,66340.8984375,1
US_rate_lag6,65296.798828125,2
is_Q2,64878.69921875,2
CPI_lag6,47016.3984375,1
CPI_diff1,0.0,0
BI_rate_lag20,0.0,0
BI_rate_lag1,0.0,0
BI_rate_diff1,0.0,0
BI_rate,0.0,0
CPI_lag1,0.0,0
US_rate_diff1,0.0,0
bi_rate_change,0.0,0
cpi_change,0.0,0
