feature,gain,split
gap_from_trend,2478369.806640625,37
dow_cos,2356123.0,8
usd_lag_1,1829483.001953125,20
usd_lag_2,1785125.498046875,25
realized_vol_21,1565435.603515625,19
usd_lag_15,1348511.900390625,23
usd_lag_10,1284258.5078125,23
days_since_bi_change,1251746.701171875,15
usd_lag_24,1182807.10546875,14
rolling_drift_252,1114696.69921875,25
usd_lag_5,939695.392578125,18
dow_sin,823275.40234375,10
usd_lag_36,725960.193359375,10
days_since_cpi_release,638349.6005859375,12
usd_lag_13,497311.095703125,9
usd_lag_47,381838.498046875,10
usd_lag_29,350371.1015625,7
usd_lag_14,327635.60546875,9
usd_lag_46,316702.8984375,8
month_cos,182567.703125,5
month_sin,134815.8984375,3
is_Q2,0.0,0
