year,rmse,n,model
2023,299.14111644406466,152,elasticnet_full
2024,464.17796218693667,262,elasticnet_full
2025,412.17626277271495,258,elasticnet_full
2026,605.0583878046319,106,elasticnet_full
2023,751.5551763959727,152,elasticnet_residual_safe
2024,1407.0199551210114,262,elasticnet_residual_safe
2025,2020.7495795273423,258,elasticnet_residual_safe
2026,2717.3713597419487,106,elasticnet_residual_safe
2023,210.89047426543559,152,ar_plus_trend
2024,377.52446449309775,262,ar_plus_trend
2025,231.30195834608128,258,ar_plus_trend
2026,288.13026385854346,106,ar_plus_trend
2023,210.89047426543559,152,ensemble_final
2024,377.52446449309775,262,ensemble_final
2025,231.30195834608128,258,ensemble_final
2026,288.13026385854346,106,ensemble_final
