intercept,sp500_coef,Date,sign,sign_flip
,,2010-01-06,,False
,,2010-01-07,,False
,,2010-01-08,,False
,,2010-01-11,,False
,,2010-01-12,,False
,,2010-01-13,,False
,,2010-01-14,,False
,,2010-01-15,,False
,,2010-01-18,,False
,,2010-01-19,,False
,,2010-01-20,,False
,,2010-01-21,,False
,,2010-01-22,,False
,,2010-01-25,,False
,,2010-01-26,,False
,,2010-01-27,,False
,,2010-01-28,,False
,,2010-01-29,,False
,,2010-02-01,,False
,,2010-02-02,,False
,,2010-02-03,,False
,,2010-02-04,,False
,,2010-02-05,,False
,,2010-02-08,,False
,,2010-02-09,,False
,,2010-02-10,,False
,,2010-02-11,,False
,,2010-02-12,,False
,,2010-02-15,,False
,,2010-02-16,,False
,,2010-02-17,,False
,,2010-02-18,,False
,,2010-02-19,,False
,,2010-02-22,,False
,,2010-02-23,,False
,,2010-02-24,,False
,,2010-02-25,,False
,,2010-02-26,,False
,,2010-03-01,,False
,,2010-03-02,,False
,,2010-03-03,,False
,,2010-03-04,,False
,,2010-03-05,,False
,,2010-03-08,,False
,,2010-03-09,,False
,,2010-03-10,,False
,,2010-03-11,,False
,,2010-03-12,,False
,,2010-03-15,,False
,,2010-03-16,,False
,,2010-03-17,,False
,,2010-03-18,,False
,,2010-03-19,,False
,,2010-03-22,,False
,,2010-03-23,,False
,,2010-03-24,,False
,,2010-03-25,,False
,,2010-03-26,,False
,,2010-03-29,,False
,,2010-03-30,,False
,,2010-03-31,,False
,,2010-04-01,,False
,,2010-04-02,,False
,,2010-04-05,,False
,,2010-04-06,,False
,,2010-04-07,,False
,,2010-04-08,,False
,,2010-04-09,,False
,,2010-04-12,,False
,,2010-04-13,,False
,,2010-04-14,,False
,,2010-04-15,,False
,,2010-04-16,,False
,,2010-04-19,,False
,,2010-04-20,,False
,,2010-04-21,,False
,,2010-04-22,,False
,,2010-04-23,,False
,,2010-04-26,,False
,,2010-04-27,,False
,,2010-04-28,,False
,,2010-04-29,,False
,,2010-04-30,,False
,,2010-05-03,,False
,,2010-05-04,,False
,,2010-05-05,,False
,,2010-05-06,,False
,,2010-05-07,,False
,,2010-05-10,,False
,,2010-05-11,,False
,,2010-05-12,,False
,,2010-05-13,,False
,,2010-05-14,,False
,,2010-05-17,,False
,,2010-05-18,,False
