feature,mean_abs_shap,rank
target_return,0.0027982367023443593,1
target_diff1,0.000716731213912225,2
GOLD_lag1,8.895956152837046e-05,3
GOLD_lag3,4.451909109842207e-05,4
GOLD_roll_std_20,1.8907990777547404e-05,5
target_roll_std_5,1.7028535271259876e-05,6
target_return_5d,1.6154337230841344e-05,7
target_return_20d,1.610787808721322e-05,8
target_roll_std_20,1.402341446537423e-05,9
rate_spread_roll_mean_20,1.2711617582510408e-05,10
target_lag20,1.2685746442777132e-05,11
GOLD,1.2521100096513525e-05,12
target_ma20_ratio,1.2084508028653972e-05,13
target_ma60_ratio,1.1663287426776168e-05,14
target_lag60,8.568192750089667e-06,15
GOLD_roll_mean_5,8.486382107990839e-06,16
SP500_roll_std_5,8.459676685626383e-06,17
SP500_lag3,8.078034828796339e-06,18
GOLD_return,5.870566650611516e-06,19
SP500,5.7273995932421795e-06,20
GOLD_lag5,5.4809106328103055e-06,21
target_momentum_20d,5.465903480621076e-06,22
IHSG_ma60_ratio,5.174010510488131e-06,23
OIL_lag1,4.92519158322233e-06,24
rate_spread_roll_mean_60,4.8879678061924365e-06,25
SP500_ma20_ratio,4.859804597243054e-06,26
OIL_return_20d,4.816281887340247e-06,27
VIX_roll_std_60,4.206227238162259e-06,28
rate_spread_lag20,4.14302323211094e-06,29
target_lag10,3.981115566044108e-06,30
US_rate_roll_std_20,3.6531815522095606e-06,31
IHSG_lag3,3.6196541065236354e-06,32
GOLD_lag20,3.60313198671768e-06,33
IHSG,3.5326624117264584e-06,34
IHSG_lag1,2.9986078305670413e-06,35
VIX_lag1,2.9630667351582154e-06,36
OIL_return_60d,2.9612981092206565e-06,37
OIL_lag5,2.6401316652454887e-06,38
IHSG_return_5d,2.61554690138872e-06,39
OIL_lag3,2.538236335929313e-06,40
target_momentum_5d,2.4798812913703154e-06,41
GOLD_diff1,2.4769133976156313e-06,42
IHSG_return_20d,2.459186165997095e-06,43
VIX_lag60,2.4033069724154284e-06,44
IHSG_return_60d,2.3838490985893003e-06,45
rate_spread_roll_std_20,2.3217062139249055e-06,46
