vix_quartile,feature,pearson,spearman,n
0,sp500_ret_l1,-0.10660756276072711,-0.11381073474405841,875
0,vix_l1,0.006208088811038283,0.00910068882726852,875
0,ihsg_ret_l1,-0.14139926083997373,-0.09918229254684457,875
1,sp500_ret_l1,-0.13269248031127492,-0.1663992215486227,874
1,vix_l1,0.005343588963803372,0.002303925619595551,874
1,ihsg_ret_l1,-0.11752376012530215,-0.12391532309799332,874
2,sp500_ret_l1,-0.1669623709388962,-0.21207368609959756,876
2,vix_l1,0.0012878617881545342,-0.029796407726531148,876
2,ihsg_ret_l1,-0.15903133521117332,-0.173879604790318,876
3,sp500_ret_l1,-0.23143795419889296,-0.1809927746526148,872
3,vix_l1,0.11225388212996172,0.022406168314348555,872
3,ihsg_ret_l1,-0.15314024564204504,-0.13354172326565292,872
